Navn;Stasjon;Tid(norsk normaltid);Lufttemperatur
Trondheim - Voll;SN68860;06.01.2023 15:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 16:00;-2,6
Trondheim - Voll;SN68860;06.01.2023 17:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 18:00;-2,7
Trondheim - Voll;SN68860;06.01.2023 19:00;-2,3
Trondheim - Voll;SN68860;06.01.2023 20:00;-2,1
Trondheim - Voll;SN68860;06.01.2023 21:00;-2,1
Trondheim - Voll;SN68860;06.01.2023 22:00;-1,9
Trondheim - Voll;SN68860;06.01.2023 23:00;-2,1
Trondheim - Voll;SN68860;07.01.2023 00:00;-1,8
Trondheim - Voll;SN68860;07.01.2023 01:00;-3,3
Trondheim - Voll;SN68860;07.01.2023 02:00;-1,7
Trondheim - Voll;SN68860;07.01.2023 03:00;-2,2
Trondheim - Voll;SN68860;07.01.2023 04:00;-2,1
Trondheim - Voll;SN68860;07.01.2023 05:00;-0,6
Trondheim - Voll;SN68860;07.01.2023 06:00;0,4
Trondheim - Voll;SN68860;07.01.2023 07:00;0,8
Trondheim - Voll;SN68860;07.01.2023 08:00;0,6
Trondheim - Voll;SN68860;07.01.2023 09:00;1
Trondheim - Voll;SN68860;07.01.2023 10:00;1,1
Trondheim - Voll;SN68860;07.01.2023 11:00;1,2
Trondheim - Voll;SN68860;07.01.2023 12:00;0,3
Trondheim - Voll;SN68860;07.01.2023 13:00;-0,1
Trondheim - Voll;SN68860;07.01.2023 14:00;-0,5
Trondheim - Voll;SN68860;07.01.2023 15:00;-1,9
Trondheim - Voll;SN68860;07.01.2023 16:00;-1
Trondheim - Voll;SN68860;07.01.2023 17:00;-1,5
Trondheim - Voll;SN68860;07.01.2023 18:00;-1,3
Trondheim - Voll;SN68860;07.01.2023 19:00;-1,2
Trondheim - Voll;SN68860;07.01.2023 20:00;2
Trondheim - Voll;SN68860;07.01.2023 21:00;2,6
Trondheim - Voll;SN68860;07.01.2023 22:00;3,1
Trondheim - Voll;SN68860;07.01.2023 23:00;4,7
Trondheim - Voll;SN68860;08.01.2023 00:00;4,9
Trondheim - Voll;SN68860;08.01.2023 01:00;5,3
Trondheim - Voll;SN68860;08.01.2023 02:00;6,5
Trondheim - Voll;SN68860;08.01.2023 03:00;6,5
Trondheim - Voll;SN68860;08.01.2023 04:00;6,3
Trondheim - Voll;SN68860;08.01.2023 05:00;6,4
Trondheim - Voll;SN68860;08.01.2023 06:00;7,5
Trondheim - Voll;SN68860;08.01.2023 07:00;7,3
Trondheim - Voll;SN68860;08.01.2023 08:00;5,8
Trondheim - Voll;SN68860;08.01.2023 09:00;6,9
Trondheim - Voll;SN68860;08.01.2023 10:00;7,2
Trondheim - Voll;SN68860;08.01.2023 11:00;7,3
Trondheim - Voll;SN68860;08.01.2023 12:00;7,2
Trondheim - Voll;SN68860;08.01.2023 13:00;6,8
Trondheim - Voll;SN68860;08.01.2023 14:00;7
Trondheim - Voll;SN68860;08.01.2023 15:00;6,8
Trondheim - Voll;SN68860;08.01.2023 16:00;6,8
Trondheim - Voll;SN68860;08.01.2023 17:00;6,6
Trondheim - Voll;SN68860;08.01.2023 18:00;6
Trondheim - Voll;SN68860;08.01.2023 19:00;6,2
Trondheim - Voll;SN68860;08.01.2023 20:00;6,1
Trondheim - Voll;SN68860;08.01.2023 21:00;6,1
Trondheim - Voll;SN68860;08.01.2023 22:00;6
Trondheim - Voll;SN68860;08.01.2023 23:00;5,7
Trondheim - Voll;SN68860;09.01.2023 00:00;4,7
Trondheim - Voll;SN68860;09.01.2023 01:00;5
Trondheim - Voll;SN68860;09.01.2023 02:00;5,7
Trondheim - Voll;SN68860;09.01.2023 03:00;5,6
Trondheim - Voll;SN68860;09.01.2023 04:00;5,6
Trondheim - Voll;SN68860;09.01.2023 05:00;4,9
Trondheim - Voll;SN68860;09.01.2023 06:00;5,1
Trondheim - Voll;SN68860;09.01.2023 07:00;4,4
Trondheim - Voll;SN68860;09.01.2023 08:00;5,3
Trondheim - Voll;SN68860;09.01.2023 09:00;5,3
Trondheim - Voll;SN68860;09.01.2023 10:00;5,8
Trondheim - Voll;SN68860;09.01.2023 11:00;5,8
Trondheim - Voll;SN68860;09.01.2023 12:00;6,5
